;	V3 text file written for MicroBrightField products.
(ImageCoords)

("Cell Body"
  (Color Cyan)
  (CellBody)
  (    0.17    16.04    -3.20     0.60)  ;  1, 1
  (    0.09    15.87    -3.20     0.60)  ;  1, 2
  (    0.00    15.79    -3.20     0.60)  ;  1, 3
  (   -0.08    15.70    -3.20     0.60)  ;  1, 4
  (   -0.08    15.53    -3.20     0.60)  ;  1, 5
  (   -0.25    15.36    -3.20     0.60)  ;  1, 6
  (   -0.34    15.28    -3.20     0.60)  ;  1, 7
  (   -0.51    15.19    -3.20     0.60)  ;  1, 8
  (   -0.59    15.02    -3.20     0.60)  ;  1, 9
  (   -0.68    14.94    -3.20     0.60)  ;  1, 10
  (   -0.85    14.68    -3.20     0.60)  ;  1, 11
  (   -0.93    14.60    -3.20     0.60)  ;  1, 12
  (   -1.19    14.34    -3.20     0.60)  ;  1, 13
  (   -1.19    14.17    -3.20     0.60)  ;  1, 14
  (   -1.36    14.09    -3.20     0.60)  ;  1, 15
  (   -1.36    13.66    -3.20     0.60)  ;  1, 16
  (   -1.44    13.58    -3.20     0.60)  ;  1, 17
  (   -1.53    13.49    -3.20     0.60)  ;  1, 18
  (   -1.53    13.24    -3.20     0.60)  ;  1, 19
  (   -1.70    13.15    -3.20     0.60)  ;  1, 20
  (   -1.70    12.98    -3.20     0.60)  ;  1, 21
  (   -1.87    12.73    -3.20     0.60)  ;  1, 22
  (   -1.95    12.64    -3.20     0.60)  ;  1, 23
  (   -2.04    12.47    -3.20     0.60)  ;  1, 24
  (   -2.21    12.39    -3.20     0.60)  ;  1, 25
  (   -2.29    12.30    -3.20     0.60)  ;  1, 26
  (   -2.38    12.22    -3.20     0.60)  ;  1, 27
  (   -2.38    11.87    -3.20     0.60)  ;  1, 28
  (   -2.46    11.79    -3.20     0.60)  ;  1, 29
  (   -2.55    11.62    -3.20     0.60)  ;  1, 30
  (   -2.63    11.53    -3.20     0.60)  ;  1, 31
  (   -2.80    11.28    -3.20     0.60)  ;  1, 32
  (   -2.97    11.02    -3.20     0.60)  ;  1, 33
  (   -3.48    10.51    -3.20     0.60)  ;  1, 34
  (   -3.57    10.43    -3.20     0.60)  ;  1, 35
  (   -3.65    10.34    -3.20     0.60)  ;  1, 36
  (   -3.74    10.17    -3.20     0.60)  ;  1, 37
  (   -3.91    10.09    -3.20     0.60)  ;  1, 38
  (   -4.08    10.00    -3.20     0.60)  ;  1, 39
  (   -4.16     9.83    -3.20     0.60)  ;  1, 40
  (   -4.25     9.66    -3.20     0.60)  ;  1, 41
  (   -4.33     9.58    -3.20     0.60)  ;  1, 42
  (   -4.59     9.41    -3.20     0.60)  ;  1, 43
  (   -4.76     9.15    -3.20     0.60)  ;  1, 44
  (   -4.93     9.07    -3.20     0.60)  ;  1, 45
  (   -5.10     8.81    -3.20     0.60)  ;  1, 46
  (   -5.18     8.73    -3.20     0.60)  ;  1, 47
  (   -5.35     8.56    -3.20     0.60)  ;  1, 48
  (   -5.52     8.22    -3.20     0.60)  ;  1, 49
  (   -5.69     8.05    -3.20     0.60)  ;  1, 50
  (   -5.95     7.96    -3.20     0.60)  ;  1, 51
  (   -6.03     7.79    -3.20     0.60)  ;  1, 52
  (   -6.12     7.62    -3.20     0.60)  ;  1, 53
  (   -6.29     7.45    -3.20     0.60)  ;  1, 54
  (   -6.46     7.03    -3.20     0.60)  ;  1, 55
  (   -6.63     6.94    -3.20     0.60)  ;  1, 56
  (   -6.80     6.69    -3.20     0.60)  ;  1, 57
  (   -6.88     6.52    -3.20     0.60)  ;  1, 58
  (   -7.05     6.18    -3.20     0.60)  ;  1, 59
  (   -7.31     6.09    -3.20     0.60)  ;  1, 60
  (   -7.39     5.92    -3.20     0.60)  ;  1, 61
  (   -7.56     5.58    -3.20     0.60)  ;  1, 62
  (   -7.65     5.41    -3.20     0.60)  ;  1, 63
  (   -7.73     5.24    -3.20     0.60)  ;  1, 64
  (   -7.82     5.16    -3.20     0.60)  ;  1, 65
  (   -8.07     4.90    -3.20     0.60)  ;  1, 66
  (   -8.16     4.82    -3.20     0.60)  ;  1, 67
  (   -8.24     4.39    -3.20     0.60)  ;  1, 68
  (   -8.33     4.14    -3.20     0.60)  ;  1, 69
  (   -8.41     4.05    -3.20     0.60)  ;  1, 70
  (   -8.50     3.88    -3.20     0.60)  ;  1, 71
  (   -8.58     3.71    -3.20     0.60)  ;  1, 72
  (   -8.67     3.63    -3.20     0.60)  ;  1, 73
  (   -8.67     3.12    -3.20     0.60)  ;  1, 74
  (   -8.75     2.95    -3.20     0.60)  ;  1, 75
  (   -8.92     2.78    -3.20     0.60)  ;  1, 76
  (   -8.92     2.61    -3.20     0.60)  ;  1, 77
  (   -9.01     2.52    -3.20     0.60)  ;  1, 78
  (   -9.09     2.35    -3.20     0.60)  ;  1, 79
  (   -9.26     2.18    -3.20     0.60)  ;  1, 80
  (   -9.43     1.93    -3.20     0.60)  ;  1, 81
  (   -9.69     1.67    -3.20     0.60)  ;  1, 82
  (  -10.03     1.50    -3.20     0.60)  ;  1, 83
  (  -10.20     1.33    -3.20     0.60)  ;  1, 84
  (  -10.54     0.99    -3.20     0.60)  ;  1, 85
  (  -10.88     0.65    -3.20     0.60)  ;  1, 86
  (  -11.05     0.48    -3.20     0.60)  ;  1, 87
  (  -11.22     0.31    -3.20     0.60)  ;  1, 88
  (  -11.31     0.14    -3.20     0.60)  ;  1, 89
  (  -11.39    -0.03    -3.20     0.60)  ;  1, 90
  (  -11.56    -0.11    -3.20     0.60)  ;  1, 91
  (  -11.65    -0.20    -3.20     0.60)  ;  1, 92
  (  -11.73    -0.45    -3.20     0.60)  ;  1, 93
  (  -11.90    -0.45    -3.20     0.60)  ;  1, 94
  (  -11.99    -0.62    -3.20     0.60)  ;  1, 95
  (  -12.07    -0.71    -3.20     0.60)  ;  1, 96
  (  -12.33    -0.79    -3.20     0.60)  ;  1, 97
  (  -12.50    -0.88    -3.20     0.60)  ;  1, 98
  (  -12.58    -0.96    -3.20     0.60)  ;  1, 99
  (  -13.01    -0.96    -3.20     0.60)  ;  1, 100
  (  -13.09    -1.05    -3.20     0.60)  ;  1, 101
  (  -13.18    -1.22    -3.20     0.60)  ;  1, 102
  (  -13.43    -1.30    -3.20     0.60)  ;  1, 103
  (  -13.94    -1.47    -3.20     0.60)  ;  1, 104
  (  -14.11    -1.64    -3.20     0.60)  ;  1, 105
  (  -14.54    -2.07    -3.20     0.60)  ;  1, 106
  (  -14.71    -2.07    -3.20     0.60)  ;  1, 107
  (  -14.79    -2.33    -3.20     0.60)  ;  1, 108
  (  -14.96    -2.50    -3.20     0.60)  ;  1, 109
  (  -15.05    -2.67    -3.20     0.60)  ;  1, 110
  (  -15.22    -2.75    -3.20     0.60)  ;  1, 111
  (  -15.22    -3.69    -3.20     0.60)  ;  1, 112
  (  -15.13    -3.86    -3.20     0.60)  ;  1, 113
  (  -15.05    -4.03    -3.20     0.60)  ;  1, 114
  (  -14.96    -4.20    -3.20     0.60)  ;  1, 115
  (  -14.88    -4.37    -3.20     0.60)  ;  1, 116
  (  -14.79    -4.54    -3.20     0.60)  ;  1, 117
  (  -14.79    -4.71    -3.20     0.60)  ;  1, 118
  (  -14.54    -4.88    -3.20     0.60)  ;  1, 119
  (  -14.11    -5.22    -3.20     0.60)  ;  1, 120
  (  -14.03    -5.30    -3.20     0.60)  ;  1, 121
  (  -13.86    -5.47    -3.20     0.60)  ;  1, 122
  (  -13.69    -5.64    -3.20     0.60)  ;  1, 123
  (  -13.43    -5.73    -3.20     0.60)  ;  1, 124
  (  -13.43    -5.90    -3.20     0.60)  ;  1, 125
  (  -13.26    -5.98    -3.20     0.60)  ;  1, 126
  (  -13.09    -6.15    -3.20     0.60)  ;  1, 127
  (  -12.84    -6.32    -3.20     0.60)  ;  1, 128
  (  -12.75    -6.49    -3.20     0.60)  ;  1, 129
  (  -12.67    -6.66    -3.20     0.60)  ;  1, 130
  (  -12.50    -6.83    -3.20     0.60)  ;  1, 131
  (  -12.41    -7.00    -3.20     0.60)  ;  1, 132
  (  -11.99    -7.34    -3.20     0.60)  ;  1, 133
  (  -11.90    -7.43    -3.20     0.60)  ;  1, 134
  (  -11.82    -7.60    -3.20     0.60)  ;  1, 135
  (  -11.82    -7.77    -3.20     0.60)  ;  1, 136
  (  -11.65    -7.85    -3.20     0.60)  ;  1, 137
  (  -11.56    -8.02    -3.20     0.60)  ;  1, 138
  (  -11.48    -8.11    -3.20     0.60)  ;  1, 139
  (  -11.22    -8.45    -3.20     0.60)  ;  1, 140
  (  -11.14    -8.53    -3.20     0.60)  ;  1, 141
  (  -11.05    -8.62    -3.20     0.60)  ;  1, 142
  (  -10.97    -8.79    -3.20     0.60)  ;  1, 143
  (  -10.88    -8.87    -3.20     0.60)  ;  1, 144
  (  -10.71    -9.04    -3.20     0.60)  ;  1, 145
  (  -10.63    -9.21    -3.20     0.60)  ;  1, 146
  (  -10.29    -9.47    -3.20     0.60)  ;  1, 147
  (  -10.11    -9.64    -3.20     0.60)  ;  1, 148
  (  -10.03    -9.72    -3.20     0.60)  ;  1, 149
  (  -10.03    -9.89    -3.20     0.60)  ;  1, 150
  (   -9.94    -9.98    -3.20     0.60)  ;  1, 151
  (   -9.77   -10.06    -3.20     0.60)  ;  1, 152
  (   -9.77   -10.74    -3.20     0.60)  ;  1, 153
  (   -9.69   -10.83    -3.20     0.60)  ;  1, 154
  (   -9.69   -11.08    -3.20     0.60)  ;  1, 155
  (   -9.60   -11.25    -3.20     0.60)  ;  1, 156
  (   -9.60   -11.42    -3.20     0.60)  ;  1, 157
  (   -9.52   -11.59    -3.20     0.60)  ;  1, 158
  (   -9.35   -11.68    -3.20     0.60)  ;  1, 159
  (   -9.26   -11.93    -3.20     0.60)  ;  1, 160
  (   -9.26   -12.10    -3.20     0.60)  ;  1, 161
  (   -9.18   -12.27    -3.20     0.60)  ;  1, 162
  (   -9.09   -12.44    -3.20     0.60)  ;  1, 163
  (   -8.92   -12.78    -3.20     0.60)  ;  1, 164
  (   -8.75   -12.95    -3.20     0.60)  ;  1, 165
  (   -8.67   -13.04    -3.20     0.60)  ;  1, 166
  (   -8.58   -13.12    -3.20     0.60)  ;  1, 167
  (   -8.33   -13.29    -3.20     0.60)  ;  1, 168
  (   -7.99   -13.46    -3.20     0.60)  ;  1, 169
  (   -7.82   -13.55    -3.20     0.60)  ;  1, 170
  (   -7.73   -13.63    -3.20     0.60)  ;  1, 171
  (   -7.22   -13.80    -3.20     0.60)  ;  1, 172
  (   -7.05   -13.80    -3.20     0.60)  ;  1, 173
  (   -6.71   -13.89    -3.20     0.60)  ;  1, 174
  (   -5.95   -13.89    -3.20     0.60)  ;  1, 175
  (   -5.86   -13.97    -3.20     0.60)  ;  1, 176
  (   -5.78   -13.89    -3.20     0.60)  ;  1, 177
  (   -5.61   -13.89    -3.20     0.60)  ;  1, 178
  (   -5.27   -13.80    -3.20     0.60)  ;  1, 179
  (   -4.84   -13.80    -3.20     0.60)  ;  1, 180
  (   -4.76   -13.72    -3.20     0.60)  ;  1, 181
  (   -4.33   -13.72    -3.20     0.60)  ;  1, 182
  (   -4.16   -13.63    -3.20     0.60)  ;  1, 183
  (   -4.08   -13.55    -3.20     0.60)  ;  1, 184
